nohup: ignoring input
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Device: cuda
Tokenizer loaded from tokenizer/tokenizer.json (vocab=32000)
============================================================
Stage 3: Building dataset
============================================================

Loading legal chunks...
  Loaded 221122 from legal_train.jsonl
  Loaded 50010 from legal_val.jsonl
  Total legal train: 221122
  Total legal val:   50010

Loading second-pass legal examples...
  Loaded 21240 from legal_second_pass.jsonl
  Total second-pass: 21240

Loading arXiv anchor (limit=20000)...
  Loaded 10000 from arxiv_aligned.jsonl
  Loaded 10000 from pubmed_aligned.jsonl
Loading CNN/DM anchor (limit=10000)...
  Loaded 10000 CNN/DM samples

  Legal chunks      : 221122
  Second-pass       : 21240
  arXiv anchor      : 20000
  CNN/DM anchor     : 10000
  Val set           : 2000
  Train steps/epoch : 24569
  Val batches       : 125
  Batch composition : 9 legal + 4 2nd-pass + 2 arXiv + 1 cnn = 16
Model built — 32,413,184 trainable parameters

Loading Stage 2 checkpoint: checkpoints/stage2_best.pt
  Stage 2 val loss: 4.4732
  Stage 2 epoch:    3
  Dropout updated to 0.3

Total steps: 245690, Warmup: 500

Reference: On March 8th, 2014, several citizens of Montgomery, Alabama, who had been imprisoned for failing to pay traffic fines, filed a lawsuit in the U.S. District Court for the Middle District of Alabama, un
============================================================

>>> Unfreezing stage 1: 17,047,808 trainable parameters
  batch 23500/24569 | loss 4.6707 | grad 2.041 | lr 4.89e-05
  batch 23600/24569 | loss 4.8147 | grad 2.048 | lr 4.89e-05
  batch 23700/24569 | loss 4.5816 | grad 2.135 | lr 4.89e-05
  batch 23800/24569 | loss 4.8002 | grad 2.837 | lr 4.89e-05
  batch 23900/24569 | loss 4.6641 | grad 2.120 | lr 4.89e-05
  batch 24000/24569 | loss 4.7136 | grad 2.000 | lr 4.89e-05
  batch 24100/24569 | loss 4.4883 | grad 1.981 | lr 4.89e-05
  batch 24200/24569 | loss 4.6609 | grad 1.825 | lr 4.89e-05
  batch 24300/24569 | loss 4.3352 | grad 2.071 | lr 4.89e-05
  batch 24400/24569 | loss 4.6795 | grad 2.144 | lr 4.89e-05
  batch 24500/24569 | loss 4.6445 | grad 2.306 | lr 4.89e-05

Epoch 1/10 | time: 56.5min | unfreeze stage 1 | trainable 17,047,808
  train loss   : 4.9585
    legal_chunk  : 5.2011
    second_pass  : 3.8064
    arxiv_anchor : 5.7830
    cnn_anchor   : 6.3569
  val loss     : 4.3883
  perplexity   : 80.51
  lr           : 4.88e-05
  sample       : On April 25, 2012, the plaintiffs filed a class action lawsuit in the U.S. District Court for the Eastern District of Alabama against some of its persons against some of its jurisdictions against some
  reference    : On March 8th, 2014, several citizens of Montgomery, Alabama, who had been imprisoned for failing to pay traffic fines, filed a lawsuit in the U.S. District Court for the Middle District of Alabama, un
  >> new best val loss — saved stage3_best.pt
  >> BELOW Stage 2 val loss (4.4732)

>>> Unfreezing stage 2: 25,320,704 trainable parameters
  batch   100/24569 | loss 4.7670 | grad 2.174 | lr 4.88e-05
  batch   200/24569 | loss 4.4476 | grad 2.011 | lr 4.88e-05
