nohup: ignoring input
Device: cuda
Tokenizer loaded from tokenizer/tokenizer.json (vocab=32000)
============================================================
Stage 2: Building dataset
============================================================

Loading aligned chunk data...
  Loaded 1501124 examples from arxiv_aligned.jsonl
  Loaded 777318 examples from pubmed_aligned.jsonl
  Total aligned chunks: 2278442

Loading second-pass examples...
  Loaded 315737 examples from second_pass.jsonl

Loading CNN/DailyMail anchor data...
  CNN/DM anchor samples: 287113

Building validation set (first chunk per paper, no augment)...

  Chunk examples    : 2278442
  Second-pass       : 315737
  Anchor (CNN/DM)   : 287113
  Val (first chunk) : 5000
  Train steps/epoch : 60000
  Val batches       : 313
  Batch composition : 9 chunk + 4 second-pass + 3 anchor = 16
Model built — 32,413,184 trainable parameters

Loading Stage 1 checkpoint: checkpoints/stage1_best.pt
  Stage 1 val loss: 3.7116
  Stage 1 epoch:    15
  Dropout updated to 0.15

Total steps: 480000, Warmup: 4000

Reference: additive models play an important role in semiparametric statistics . 
 this paper gives learning rates for regularized kernel based methods for additive models . 
 these learning rates compare favour
============================================================
  batch 44200/60000 | loss 3.9059 | grad 1.561 | lr 9.83e-05
  batch 44400/60000 | loss 4.0149 | grad 1.650 | lr 9.83e-05
  batch 44600/60000 | loss 4.0583 | grad 1.480 | lr 9.82e-05
  batch 44800/60000 | loss 4.0477 | grad 1.505 | lr 9.82e-05
  batch 45000/60000 | loss 4.1346 | grad 1.692 | lr 9.82e-05
  batch 45200/60000 | loss 3.9743 | grad 1.622 | lr 9.82e-05
  batch 45400/60000 | loss 3.9866 | grad 1.476 | lr 9.82e-05
  batch 45600/60000 | loss 4.1813 | grad 1.464 | lr 9.81e-05
  batch 45800/60000 | loss 4.0211 | grad 1.472 | lr 9.81e-05
  batch 46000/60000 | loss 4.1336 | grad 1.864 | lr 9.81e-05
  batch 46200/60000 | loss 4.1158 | grad 1.742 | lr 9.81e-05
  batch 46400/60000 | loss 4.1735 | grad 1.473 | lr 9.81e-05
  batch 46600/60000 | loss 3.8956 | grad 1.543 | lr 9.81e-05
  batch 46800/60000 | loss 4.1169 | grad 1.412 | lr 9.80e-05
  batch 47000/60000 | loss 4.3440 | grad 1.426 | lr 9.80e-05
  batch 47200/60000 | loss 4.2452 | grad 1.675 | lr 9.80e-05
  batch 47400/60000 | loss 3.9633 | grad 1.479 | lr 9.80e-05
  batch 47600/60000 | loss 3.7822 | grad 1.596 | lr 9.80e-05
  batch 47800/60000 | loss 4.0155 | grad 1.566 | lr 9.79e-05
  batch 48000/60000 | loss 3.9642 | grad 1.644 | lr 9.79e-05
  batch 48200/60000 | loss 3.9722 | grad 1.374 | lr 9.79e-05
  batch 48400/60000 | loss 3.8919 | grad 1.434 | lr 9.79e-05
  batch 48600/60000 | loss 4.0636 | grad 1.626 | lr 9.79e-05
  batch 48800/60000 | loss 4.0945 | grad 1.542 | lr 9.79e-05
  batch 49000/60000 | loss 3.8734 | grad 1.721 | lr 9.78e-05
  batch 49200/60000 | loss 3.9716 | grad 1.521 | lr 9.78e-05
  batch 49400/60000 | loss 3.9983 | grad 1.480 | lr 9.78e-05
  batch 49600/60000 | loss 3.9159 | grad 1.670 | lr 9.78e-05
  batch 49800/60000 | loss 4.0908 | grad 1.482 | lr 9.78e-05
  batch 50000/60000 | loss 4.1311 | grad 1.652 | lr 9.77e-05
  batch 50200/60000 | loss 4.1696 | grad 1.845 | lr 9.77e-05
  batch 50400/60000 | loss 4.0830 | grad 1.524 | lr 9.77e-05
  batch 50600/60000 | loss 3.8916 | grad 1.435 | lr 9.77e-05
  batch 50800/60000 | loss 4.1174 | grad 1.432 | lr 9.77e-05
  batch 51000/60000 | loss 4.0548 | grad 1.486 | lr 9.76e-05
  batch 51200/60000 | loss 4.1031 | grad 1.801 | lr 9.76e-05
  batch 51400/60000 | loss 4.1217 | grad 1.607 | lr 9.76e-05
  batch 51600/60000 | loss 4.0657 | grad 1.534 | lr 9.76e-05
  batch 51800/60000 | loss 3.8581 | grad 1.574 | lr 9.76e-05
  batch 52000/60000 | loss 4.0038 | grad 1.498 | lr 9.75e-05
  batch 52200/60000 | loss 3.8541 | grad 1.493 | lr 9.75e-05
  batch 52400/60000 | loss 4.0563 | grad 1.566 | lr 9.75e-05
  batch 52600/60000 | loss 4.1494 | grad 1.664 | lr 9.75e-05
  batch 52800/60000 | loss 4.1314 | grad 1.601 | lr 9.75e-05
  batch 53000/60000 | loss 3.9906 | grad 1.928 | lr 9.74e-05
  batch 53200/60000 | loss 4.1329 | grad 1.556 | lr 9.74e-05
  batch 53400/60000 | loss 3.9245 | grad 1.596 | lr 9.74e-05
  batch 53600/60000 | loss 4.0783 | grad 1.548 | lr 9.74e-05
  batch 53800/60000 | loss 3.9473 | grad 1.693 | lr 9.74e-05
  batch 54000/60000 | loss 3.8483 | grad 1.599 | lr 9.73e-05
  batch 54200/60000 | loss 3.8184 | grad 1.545 | lr 9.73e-05
  batch 54400/60000 | loss 4.1300 | grad 1.528 | lr 9.73e-05
  batch 54600/60000 | loss 4.0575 | grad 1.782 | lr 9.73e-05
  batch 54800/60000 | loss 3.8993 | grad 1.901 | lr 9.72e-05
  batch 55000/60000 | loss 3.9014 | grad 1.465 | lr 9.72e-05
  batch 55200/60000 | loss 4.2050 | grad 1.652 | lr 9.72e-05
  batch 55400/60000 | loss 4.0107 | grad 1.757 | lr 9.72e-05
  batch 55600/60000 | loss 4.0059 | grad 1.552 | lr 9.72e-05
  batch 55800/60000 | loss 3.9869 | grad 1.622 | lr 9.71e-05
  batch 56000/60000 | loss 3.8279 | grad 1.517 | lr 9.71e-05
  batch 56200/60000 | loss 3.9992 | grad 1.806 | lr 9.71e-05
  batch 56400/60000 | loss 4.0377 | grad 1.491 | lr 9.71e-05
  batch 56600/60000 | loss 4.0327 | grad 1.725 | lr 9.70e-05
  batch 56800/60000 | loss 4.1855 | grad 1.579 | lr 9.70e-05
